Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE,Absolute score
GSM4641914,0.017022726000488,0.075001333437098,0.11858631417509,0.23915159157858,0,0,0,0,0.15422892968745,0,0,0.062781438908376,0.041254149524163,0.052243406245242,0.004672968706576,0,0,0,0,0.028519049716049,0,0,0.20653809202089,0.09140424816991978,1.0698816367611883,0.7299271579442427
GSM4641915,0,0.069377833304588,0.14248019830364,0.21509093944662,0.10813297070236,0,0,0,0.029362536942161,0,0.072339591498314,0.018915927236478,0.088218312715355,0.046741704447135,0,0,0,0.035841769403893,0,0.005124158101471,0,0,0.16837405789798,0.10519672696588264,1.0538202601763926,0.7013603238691463
GSM4641916,0,0.093193628674473,0,0.24282429883512,0,0,0,0.055186374376798,0.057696335387212,0,0,0.079093856289,0.069583591750968,0.065666797760979,0,0,0,0.02154127969465,0.025657474490586,0,0,0,0.28955636274022,0.06168435472820511,1.0999908506405678,0.7311605999601423
GSM4641917,0.025976742988334,0.027421912628257,0.039413679606078,0.3140972030423,0.010340733917702,0,0,0,0.065485019165313,0,0.0055310543150163,0.030512238903078,0.085923476255508,0.084376989691175,0,0,0,0.026768771404103,0.0054535462341386,0,0,0,0.278698631849,0.06372667614234803,1.0944906545917892,0.7557267077443365
GSM4641918,0,0.099776192621775,0.077684968625496,0.17362812404672,0.010931175788068,0,0,0,0.038404902107035,0,0.022761017017066,0.035729129932907,0.052457410763666,0.028837934242583,0,0,0,0.0041073110908784,0.0012242347321916,0,0,0,0.45445759903161,0.020641830000276522,1.100723184496197,0.6842424226475533
GSM4641919,0.041420852365639,0.070100484467476,0.0089062083965241,0.22719007135012,0,0,0,0.017621289458068,0.06843634033113,0,0,0.069712776137833,0.013687016680617,0.10249172426989,0,0,0,0.0050183660622204,0.01191073589129,0.0089287815587561,0,0,0.35457535303044,0.04627392669593872,1.1134191568730087,0.7044464208875267
GSM4641920,0.028916474365264,0.021603754512002,0,0.17770393672078,0,0,0,0.034323814599362,0,0,0,0.046149904824343,0.027591807349718,0.10674695418529,0,0,0,0.047602274179642,0.050918102619255,0,0,0,0.45844297664434,0.009457611737024748,1.1067153093949005,0.767842639356801
GSM4641921,0.0080641851427428,0.023288575439017,0.06641614510087,0.27309709208579,0.054514699765742,0,0,0,0.06169719196646,0,0,0.17758790787223,0.085769290423764,0.053289728827965,0,0,0,0.040145254126894,0,0.0097625122727516,0,0,0.14636741697578,0.11015035530088849,1.102382452117577,0.7640079376045752
GSM4641922,0.061733555649689,0.011560194288578,0.067097341297649,0.17184317083367,0,0,0,0.033552240823382,0.019651068352284,0,0.089314425730709,0,0.012524499135014,0.13270483679883,0,0,0,0,0.059497277709702,0,0,0,0.3405213893805,0.046404650556852174,1.0816888366093413,0.7494924849627291
GSM4641923,0,0.19039743459107,0.01696404161492,0.30134480431489,0,0,0,0.010736550579642,0.080777902418949,0,0,0.074444691788053,0.018573105989087,0.14962163421702,0,0,0,0,0.0064778857531336,0.019469819813503,0,0,0.13119212891973,0.11549250224317448,1.072692444473916,0.794689021270651
