GSM525610	Prostate tumor PCA0036 (aCGH)
GSM525611	Prostate tumor PCA0037 (aCGH)
GSM525612	Prostate tumor PCA0038 (aCGH)
GSM525613	Prostate tumor PCA0039 (aCGH)
GSM525614	Prostate tumor PCA0040 (aCGH)
GSM525615	Prostate tumor PCA0041 (aCGH)
GSM525616	Prostate tumor PCA0042 (aCGH)
GSM525617	Prostate tumor PCA0043 (aCGH)
GSM525618	Prostate tumor PCA0044 (aCGH)
GSM525619	Prostate tumor PCA0045 (aCGH)
GSM525620	Prostate tumor PCA0046 (aCGH)
GSM525621	Prostate tumor PCA0047 (aCGH)
GSM525622	Prostate tumor PCA0048 (aCGH)
GSM525623	Prostate tumor PCA0049 (aCGH)
GSM525624	Prostate tumor PCA0050 (aCGH)
GSM525625	Prostate tumor PCA0051 (aCGH)
GSM525626	Prostate tumor PCA0052 (aCGH)
GSM525627	Prostate tumor PCA0053 (aCGH)
GSM525628	Prostate tumor PCA0054 (aCGH)
GSM525629	Prostate tumor PCA0055 (aCGH)
GSM525630	Prostate tumor PCA0056 (aCGH)
GSM525631	Prostate tumor PCA0057 (aCGH)
GSM525632	Prostate tumor PCA0058 (aCGH)
GSM525633	Prostate tumor PCA0059 (aCGH)
GSM525634	Prostate tumor PCA0060 (aCGH)
GSM525635	Prostate tumor PCA0061 (aCGH)
GSM525636	Prostate tumor PCA0062 (aCGH)
GSM525637	Prostate tumor PCA0063 (aCGH)
GSM525638	Prostate tumor PCA0064 (aCGH)
GSM525639	Prostate tumor PCA0065 (aCGH)
GSM525640	Prostate tumor PCA0066 (aCGH)
GSM525641	Prostate tumor PCA0067 (aCGH)
GSM525642	Prostate tumor PCA0068 (aCGH)
GSM525643	Prostate tumor PCA0069 (aCGH)
GSM525644	Prostate tumor PCA0070 (aCGH)
GSM525645	Prostate tumor PCA0071 (aCGH)
GSM525646	Prostate tumor PCA0072 (aCGH)
GSM525647	Prostate tumor PCA0073 (aCGH)
GSM525648	Prostate tumor PCA0074 (aCGH)
GSM525649	Prostate tumor PCA0075 (aCGH)
GSM525650	Prostate tumor PCA0076 (aCGH)
GSM525651	Prostate tumor PCA0077 (aCGH)
GSM525652	Prostate tumor PCA0078 (aCGH)
GSM525653	Prostate tumor PCA0079 (aCGH)
GSM525654	Prostate tumor PCA0080 (aCGH)
GSM525655	Prostate tumor PCA0081 (aCGH)
GSM525656	Prostate tumor PCA0082 (aCGH)
GSM525657	Prostate tumor PCA0083 (aCGH)
GSM525658	Prostate tumor PCA0084 (aCGH)
GSM525659	Prostate tumor PCA0085 (aCGH)
GSM525660	Prostate tumor PCA0086 (aCGH)
GSM525661	Prostate tumor PCA0087 (aCGH)
GSM525662	Prostate tumor PCA0088 (aCGH)
GSM525663	Prostate tumor PCA0089 (aCGH)
GSM525664	Prostate tumor PCA0090 (aCGH)
GSM525665	Prostate tumor PCA0091 (aCGH)
GSM525666	Prostate tumor PCA0092 (aCGH)
GSM525667	Prostate tumor PCA0093 (aCGH)
GSM525668	Prostate tumor PCA0094 (aCGH)
GSM525669	Prostate tumor PCA0095 (aCGH)
GSM525670	Prostate tumor PCA0096 (aCGH)
GSM525671	Prostate tumor PCA0097 (aCGH)
GSM525672	Prostate tumor PCA0098 (aCGH)
GSM525673	Prostate tumor PCA0099 (aCGH)
GSM525674	Prostate tumor PCA0100 (aCGH)
GSM525675	Prostate tumor PCA0101 (aCGH)
GSM525676	Prostate tumor PCA0102 (aCGH)
GSM525677	Prostate tumor PCA0103 (aCGH)
